category,jahr,anzahl,name
- bestanden,2006,39811,Baden-Württemberg
- bestanden,2006,27431,Bayern
- bestanden,2006,13553,Berlin
- bestanden,2006,11553,Brandenburg
- bestanden,2006,2487,Bremen
- bestanden,2006,5968,Hamburg
- bestanden,2006,19486,Hessen
- bestanden,2006,6620,Mecklenburg-Vorpommern
- bestanden,2006,23947,Niedersachsen
- bestanden,2006,56681,Nordrhein-Westfalen
- bestanden,2006,13050,Rheinland-Pfalz
- bestanden,2006,2939,Saarland
- bestanden,2006,15847,Sachsen
- bestanden,2006,8672,Sachsen-Anhalt
- bestanden,2006,8682,Schleswig-Holstein
- bestanden,2006,9993,Thüringen
- bestanden,2007,41391,Baden-Württemberg
- bestanden,2007,32885,Bayern
- bestanden,2007,13500,Berlin
- bestanden,2007,11975,Brandenburg
- bestanden,2007,2447,Bremen
- bestanden,2007,6361,Hamburg
- bestanden,2007,20478,Hessen
- bestanden,2007,6677,Mecklenburg-Vorpommern
- bestanden,2007,27472,Niedersachsen
- bestanden,2007,57882,Nordrhein-Westfalen
- bestanden,2007,13843,Rheinland-Pfalz
- bestanden,2007,2961,Saarland
- bestanden,2007,15950,Sachsen
- bestanden,2007,14872,Sachsen-Anhalt
- bestanden,2007,9230,Schleswig-Holstein
- bestanden,2007,9533,Thüringen
- bestanden,2008,43324,Baden-Württemberg
- bestanden,2008,33456,Bayern
- bestanden,2008,13818,Berlin
- bestanden,2008,11848,Brandenburg
- bestanden,2008,2717,Bremen
- bestanden,2008,5856,Hamburg
- bestanden,2008,21286,Hessen
- bestanden,2008,4313,Mecklenburg-Vorpommern
- bestanden,2008,25458,Niedersachsen
- bestanden,2008,69020,Nordrhein-Westfalen
- bestanden,2008,14650,Rheinland-Pfalz
- bestanden,2008,3029,Saarland
- bestanden,2008,15774,Sachsen
- bestanden,2008,9002,Sachsen-Anhalt
- bestanden,2008,10035,Schleswig-Holstein
- bestanden,2008,9753,Thüringen
- bestanden,2009,45080,Baden-Württemberg
- bestanden,2009,36025,Bayern
- bestanden,2009,13555,Berlin
- bestanden,2009,12751,Brandenburg
- bestanden,2009,2733,Bremen
- bestanden,2009,7464,Hamburg
- bestanden,2009,20818,Hessen
- bestanden,2009,3087,Mecklenburg-Vorpommern
- bestanden,2009,27716,Niedersachsen
- bestanden,2009,71313,Nordrhein-Westfalen
- bestanden,2009,14909,Rheinland-Pfalz
- bestanden,2009,5950,Saarland
- bestanden,2009,13967,Sachsen
- bestanden,2009,7314,Sachsen-Anhalt
- bestanden,2009,10626,Schleswig-Holstein
- bestanden,2009,8626,Thüringen
- bestanden,2010,46277,Baden-Württemberg
- bestanden,2010,38840,Bayern
- bestanden,2010,12955,Berlin
- bestanden,2010,9916,Brandenburg
- bestanden,2010,2904,Bremen
- bestanden,2010,12733,Hamburg
- bestanden,2010,22554,Hessen
- bestanden,2010,5581,Mecklenburg-Vorpommern
- bestanden,2010,30296,Niedersachsen
- bestanden,2010,75049,Nordrhein-Westfalen
- bestanden,2010,15710,Rheinland-Pfalz
- bestanden,2010,3315,Saarland
