Wahlkreisnummere,Nachname,Vorname,Name,Partei,Stimmenanteil,Bundesland,ausgeschieden
258,Özdemir, Cem,"Özdemir, Cem",GRÜNE,39.9,Baden-Württemberg,
259,Mörseburg, Maximilian Rick,"Mörseburg, Maximilian Rick",CDU,25.9,Baden-Württemberg,
260,Biadacz, Marc Josef,"Biadacz, Marc Josef",CDU,29.7,Baden-Württemberg,
261,Grübel, Markus,"Grübel, Markus",CDU,32,Baden-Württemberg,
262,Hennrich, Michael (Mandat verzichtet),"Hennrich, Michael (Mandat verzichtet)",CDU,30.1,Baden-Württemberg,
263,Färber, Hermann,"Färber, Hermann",CDU,31,Baden-Württemberg,
264,Stumpp, Christina Daniela,"Stumpp, Christina Daniela",CDU,29,Baden-Württemberg,
265,Bilger, Steffen Rudi,"Bilger, Steffen Rudi",CDU,29.5,Baden-Württemberg,
266,Gramling, Fabian Benedikt Meinrad,"Gramling, Fabian Benedikt Meinrad",CDU,30.4,Baden-Württemberg,
267,Throm, Alexander Richard,"Throm, Alexander Richard",CDU,27.8,Baden-Württemberg,
268,Freiherr von Stetten, Christian Alexander,"Freiherr von Stetten, Christian Alexander",CDU,32.1,Baden-Württemberg,
269,Dr. Gräßle, Ingeborg Gabriele,"Dr. Gräßle, Ingeborg Gabriele",CDU,30.5,Baden-Württemberg,
270,Kiesewetter, Roderich,"Kiesewetter, Roderich",CDU,37,Baden-Württemberg,
271,Mayer, Zoe,"Mayer, Zoe",GRÜNE,30,Baden-Württemberg,
272,Zippelius, Nicolas Benjamin,"Zippelius, Nicolas Benjamin",CDU,30.4,Baden-Württemberg,
273,Whittaker, Kai Thorsten,"Whittaker, Kai Thorsten",CDU,33.2,Baden-Württemberg,
274,Dr. Brantner, Franziska Katharina,"Dr. Brantner, Franziska Katharina",GRÜNE,30.2,Baden-Württemberg,
275,Cademartori Dujisin, Isabel Andrea,"Cademartori Dujisin, Isabel Andrea",SPD,26.4,Baden-Württemberg,
276,Warken, Nina Ingrid,"Warken, Nina Ingrid",CDU,35.8,Baden-Württemberg,
277,Oppelt, Moritz Paul Georg,"Oppelt, Moritz Paul Georg",CDU,28.5,Baden-Württemberg,
278,Gutting, Olav Steffen,"Gutting, Olav Steffen",CDU,29.6,Baden-Württemberg,
279,Krichbaum, Gunther,"Krichbaum, Gunther",CDU,28.5,Baden-Württemberg,
280,Mack, Klaus,"Mack, Klaus",CDU,33.8,Baden-Württemberg,
281,Kopf, Chantal Johanna Siglinde,"Kopf, Chantal Johanna Siglinde",GRÜNE,28.8,Baden-Württemberg,
282,Stöcker, Diana Iris,"Stöcker, Diana Iris",CDU,25.2,Baden-Württemberg,
283,Bury, Yannick,"Bury, Yannick",CDU,27.8,Baden-Württemberg,
284,Dr. Schäuble, Wolfgang (verstorben),"Dr. Schäuble, Wolfgang (verstorben)",CDU,34.9,Baden-Württemberg,
285,Weiss, Maria-Lena,"Weiss, Maria-Lena",CDU,31.5,Baden-Württemberg,
286,Frei, Thorsten,"Frei, Thorsten",CDU,36.4,Baden-Württemberg,
287,Jung, Andreas,"Jung, Andreas",CDU,34.1,Baden-Württemberg,
288,Schreiner, Felix,"Schreiner, Felix",CDU,33.6,Baden-Württemberg,
289,Donth, Michael,"Donth, Michael",CDU,32.5,Baden-Württemberg,
290,Widmann-Mauz, Annette,"Widmann-Mauz, Annette",CDU,27,Baden-Württemberg,
291,Kemmer, Ronja Helene,"Kemmer, Ronja Helene",CDU,32.7,Baden-Württemberg,
292,Rief, Josef,"Rief, Josef",CDU,35.1,Baden-Württemberg,
293,Mayer-Lay, Volker,"Mayer-Lay, Volker",CDU,30.4,Baden-Württemberg,
294,Müller, Axel Karl,"Müller, Axel Karl",CDU,30.6,Baden-Württemberg,
295,Bareiß, Thomas,"Bareiß, Thomas",CDU,30.1,Baden-Württemberg,
212,Mayer, Stephan,"Mayer, Stephan",CSU,43.3,Bayern,
