Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Wahlberechtigte;-4;;61172771;;61181072;;-0,013568;;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Wählende;-3;;46707343;76,353159;46854508;76,583339;-0,314089;-0,230181;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;1;488483;1,045838;492495;1,051116;-0,814628;-0,005278;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;2;408956;0,875571;412485;0,880353;-0,855546;-0,004782;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;1;46218860;98,954162;46362013;98,948884;-0,308772;0,005278;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;2;46298387;99,124429;46442023;99,119647;-0,30928;0,004782;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;CDU;1;1;10445920;22,60099;10451524;22,543292;-0,053619;0,057698;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;CDU;1;2;8774920;18,952971;8775471;18,89554;-0,006279;0,057431;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;SPD;2;1;12184096;26,361741;12234690;26,389471;-0,413529;-0,02773;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;SPD;2;2;11901558;25,706204;11955434;25,742707;-0,45064;-0,036503;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;AfD;3;1;4699926;10,168849;4695611;10,128143;0,091894;0,040706;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;AfD;3;2;4809233;10,387474;4803902;10,343869;0,110972;0,043605;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;FDP;4;1;4019565;8,696807;4042951;8,720396;-0,578439;-0,023589;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;FDP;4;2;5291013;11,428072;5319952;11,455039;-0,543971;-0,026967;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;DIE LINKE;5;1;2286070;4,946184;2307536;4,977213;-0,930256;-0,031028;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;DIE LINKE;5;2;2255864;4,872446;2270906;4,889765;-0,662379;-0,017319;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;GRÜNE;6;1;6435380;13,92371;6469081;13,953408;-0,520955;-0,029698;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;GRÜNE;6;2;6814408;14,718457;6852206;14,754323;-0,551618;-0,035866;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;CSU;7;1;2788048;6,032273;2788048;6,013647;0;0,018626;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;CSU;7;2;2402827;5,189872;2402827;5,173821;0;0,016051;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;1;1332710;2,883477;1334739;2,87895;-0,152015;0,004527;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;2;1125667;2,431331;1127784;2,42837;-0,187713;0,002961;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Die PARTEI;9;1;540170;1,168722;543145;1,17153;-0,547736;-0,002808;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Die PARTEI;9;2;460431;0,994486;461570;0,993863;-0,246766;0,000623;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Tierschutzpartei;10;1;160865;0,348051;163201;0,352014;-1,431364;-0,003964;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Tierschutzpartei;10;2;673669;1,455059;675353;1,454185;-0,249351;0,000874;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;HEIMAT (2021: NPD);11;1;1090;0,002358;1090;0,002351;0;0,000007;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;HEIMAT (2021: NPD);11;2;64360;0,139011;64574;0,139042;-0,331403;-0,000031;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;PIRATEN;12;1;60548;0,131003;60839;0,131226;-0,478312;-0,000223;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;PIRATEN;12;2;169587;0,366291;169923;0,365882;-0,197737;0,000409;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;ÖDP;13;1;152542;0,330043;152792;0,329563;-0,163621;0,00048;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;ÖDP;13;2;112129;0,242188;112314;0,241837;-0,164717;0,000351;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;V-Partei³;14;1;10644;0,02303;10644;0,022958;0;0,000071;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;V-Partei³;14;2;31763;0,068605;31884;0,068653;-0,379501;-0,000048;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;DiB;15;1;2609;0,005645;2609;0,005627;0;0,000017;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;DiB;15;2;7184;0,015517;7184;0,015469;0;0,000048;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;BP;16;1;36748;0,079509;36748;0,079263;0;0,000246;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;BP;16;2;32790;0,070823;32790;0,070604;0;0,000219;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Tierschutzallianz;17;1;7371;0,015948;7371;0,015899;0;0,000049;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT;26.09.2021;Bund;99;Bundesgebiet;;;Partei;Tierschutzallianz;17;2;13672;0,02953;13672;0,029439;0;0,000091;Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
