"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Abdi, Sanae",1986,SPD,"Wahlkreis 093
    und 
    Land Nordrhein-Westfalen (Platz 40)",
"Abel, Valentin Christian",1991,FDP,"Wahlkreis 268
    und 
    Land Baden-Württemberg (Platz 12)",
"Abelein, Urs Jakob",1991,SPD,Wahlkreis 264,
"Abelmann, Jürgen",1958,DIE LINKE,Wahlkreis 033,
"Abeln, Carolin",1992,FDP,"Wahlkreis 032
    und 
    Land Niedersachsen (Platz 15)",
"Dr. von Abercron, Ernst Michael",1952,CDU,"Wahlkreis 007
    und 
    Land Schleswig-Holstein (Platz 9)",
"Abou-Zaher, Jonas",1995,Team Todenhöfer,Land Bayern (Platz 5),
"Abraham, Knut Friedrich Alexander",1966,CDU,"Wahlkreis 065
    und 
    Land Brandenburg (Platz 4)",
"Abramik, Paula Bianka",1996,du.,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 2)",
"Abstoß, Christian",1991,FREIE WÄHLER,Wahlkreis 099,
"Abt, Alexander",1971,ÖDP,"Wahlkreis 257
    und 
    Land Bayern (Platz 5)",
"Acar, Jutta",1958,FREIE WÄHLER,Wahlkreis 096,
"Achelwilm, Doris",1976,DIE LINKE,"Wahlkreis 055
    und 
    Land Bremen (Platz 1)",
"Achenbach, Ulrich",1954,MLPD,Land Nordrhein-Westfalen (Platz 10),
"Achers-von Thenen, Petra",1966,dieBasis,Land Nordrhein-Westfalen (Platz 13),
"Achtziger, Alina Christiane",1999,Die PARTEI,Land Bayern (Platz 23),
"Ackermann, Stefan",1989,Team Todenhöfer,Land Rheinland-Pfalz (Platz 5),
"Adams, Swen",1976,DIE LINKE,Wahlkreis 038,
"Adamy, Wilfried",1963,FREIE WÄHLER,Wahlkreis 119,
"Adler, Hans-Henning",1949,DIE LINKE,Wahlkreis 026,
"Adler, Katja",1974,FDP,"Wahlkreis 176
    und 
    Land Hessen (Platz 6)",
"Adler, Sebastian",1984,FDP,"Wahlkreis 015
    und 
    Land Mecklenburg-Vorpommern (Platz 3)",
"Adomeit, Joachim",1977,PIRATEN,Land Rheinland-Pfalz (Platz 3),
"Adrian, Andreas",1999,DIE LINKE,Wahlkreis 249,
"Aechtner, Kristin",1996,Die PARTEI,Land Brandenburg (Platz 7),
"Aeffner, Stephanie",1976,GRÜNE,"Wahlkreis 279
    und 
    Land Baden-Württemberg (Platz 15)",
"Aegenvoort, Manfred",1944,NPD,Land Nordrhein-Westfalen (Platz 10),
"Afshari, Najia",1968,MLPD,Land Hamburg (Platz 5),
"Aggelidis, Grigorios",1965,FDP,"Wahlkreis 043
    und 
    Land Niedersachsen (Platz 28)",
"Aggelidis, Michael Georg",1962,dieBasis,"Wahlkreis 089
    und 
    Land Nordrhein-Westfalen (Platz 10)",
"Agu, Diyar",1999,DIE LINKE,"Wahlkreis 099
    und 
    Land Nordrhein-Westfalen (Platz 18)",
"Ahlheim, Sven",1981,Die PARTEI,Land Hessen (Platz 38),
"Ahlswede, Sophia",1998,ÖDP,Land Hamburg (Platz 6),
"Ahmadi, Gholam Abbas",1955,Team Todenhöfer,Land Niedersachsen (Platz 7),
"Ahmetovic, Adis",1993,SPD,"Wahlkreis 041
    und 
    Land Niedersachsen (Platz 29)",
