Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
2,"Damerow, Astrid",CDU,304,Schleswig-Holstein,NA,Direkt
3,"Helfrich, Mark",CDU,292,Schleswig-Holstein,NA,Direkt
4,"Dr. Wadephul, Johann David",CDU,NA,Schleswig-Holstein,1,Liste
9,"Gädechens, Ingo Adolf August",CDU,NA,Schleswig-Holstein,3,Liste
1,"Nicolaisen, Petra",CDU,NA,Schleswig-Holstein,4,Liste
8,"Storjohann, Gero",CDU,NA,Schleswig-Holstein,5,Liste
16,"Amthor, Philipp",CDU,NA,Mecklenburg-Vorpommern,1,Liste
12,"Monstadt, Dietrich",CDU,NA,Mecklenburg-Vorpommern,2,Liste
21,"Dr. Ploß, Christoph Johannes",CDU,NA,Hamburg,1,Liste
22,"Hoppermann, Franziska Christina Brigitte",CDU,NA,Hamburg,2,Liste
32,"Breher, Silvia Maria",CDU,491,Niedersachsen,NA,Direkt
25,"Connemann, Gitta",CDU,444,Niedersachsen,NA,Direkt
31,"Stegemann, Albert",CDU,405,Niedersachsen,NA,Direkt
38,"Dr. Berghegger, André (Mandat verzichtet)",CDU,362,Niedersachsen,NA,Direkt
30,"Grundmann, Oliver Klaus",CDU,346,Niedersachsen,NA,Direkt
33,"Knoerig, Axel",CDU,338,Niedersachsen,NA,Direkt
34,"Mattfeldt, Andreas",CDU,337,Niedersachsen,NA,Direkt
44,"Otte, Henning Rudolf Helmut",CDU,329,Niedersachsen,NA,Direkt
43,"Dr. Hoppenstedt, Hendrik",CDU,NA,Niedersachsen,1,Liste
36,"Grosse-Brömer, Michael",CDU,NA,Niedersachsen,2,Liste
39,"Dr. Middelberg, Mathias Wolfgang Antonius",CDU,NA,Niedersachsen,4,Liste
29,"Ferlemann, Enak Matthias",CDU,NA,Niedersachsen,5,Liste
26,"Janssen, Anne",CDU,NA,Niedersachsen,6,Liste
47,"Kuban, Tilman Moritz",CDU,NA,Niedersachsen,7,Liste
50,"Müller, Carsten",CDU,NA,Niedersachsen,8,Liste
46,"Wulf, Mareike Lotte",CDU,NA,Niedersachsen,9,Liste
54,"Röwekamp, Thomas",CDU,NA,Bremen,1,Liste
57,"Koeppen, Jens",CDU,NA,Brandenburg,1,Liste
58,"Feiler, Uwe Wolfgang Werner",CDU,NA,Brandenburg,2,Liste
62,"Schimke, Jana",CDU,NA,Brandenburg,3,Liste
65,"Abraham, Knut Friedrich Alexander",CDU,NA,Brandenburg,4,Liste
70,"Müller, Sepp",CDU,343,Sachsen-Anhalt,NA,Direkt
68,"Brehmer, Heike Martina",CDU,277,Sachsen-Anhalt,NA,Direkt
73,"Stier, Dieter",CDU,263,Sachsen-Anhalt,NA,Direkt
69,"Sorge, Tino",CDU,NA,Sachsen-Anhalt,3,Liste
85,"Czaja, Mario",CDU,297,Berlin,NA,Direkt
77,"Grütters, Monika",CDU,295,Berlin,NA,Direkt
79,"Heilmann, Thomas",CDU,286,Berlin,NA,Direkt
81,"Dr. Luczak, Jan-Marco",CDU,NA,Berlin,2,Liste
137,"Dr. Linnemann, Carsten Christoffer",CDU,479,Nordrhein-Westfalen,NA,Direkt
126,"König, Anne",CDU,437,Nordrhein-Westfalen,NA,Direkt
127,"Henrichmann, Marc",CDU,409,Nordrhein-Westfalen,NA,Direkt
147,"Merz, Joachim-Friedrich Martin Josef",CDU,404,Nordrhein-Westfalen,NA,Direkt
136,"Haase, Christian",CDU,401,Nordrhein-Westfalen,NA,Direkt
89,"Oellers, Wilfried",CDU,397,Nordrhein-Westfalen,NA,Direkt
112,"Rouenhoff, Stefan",CDU,376,Nordrhein-Westfalen,NA,Direkt
149,"Müller, Florian Matthias",CDU,371,Nordrhein-Westfalen,NA,Direkt
90,"Rachel, Thomas Walther",CDU,367,Nordrhein-Westfalen,NA,Direkt
130,"Rehbaum, Henning",CDU,363,Nordrhein-Westfalen,NA,Direkt
108,"Gröhe, Gottfried Hermann",CDU,358,Nordrhein-Westfalen,NA,Direkt
111,"Dr. Plum, Martin",CDU,358,Nordrhein-Westfalen,NA,Direkt
109,"Dr. Krings, Günter",CDU,356,Nordrhein-Westfalen,NA,Direkt
92,"Seif, Detlef",CDU,346,Nordrhein-Westfalen,NA,Direkt
99,"Dr. Brodesser, Carsten",CDU,339,Nordrhein-Westfalen,NA,Direkt
148,"Klein, Volkmar",CDU,336,Nordrhein-Westfalen,NA,Direkt
150,"Ziemiak, Paul",CDU,336,Nordrhein-Westfalen,NA,Direkt
110,"Heveling, Ansgar Guido Karl Johannes",CDU,334,Nordrhein-Westfalen,NA,Direkt
146,"Thies, Hans-Jürgen",CDU,331,Nordrhein-Westfalen,NA,Direkt
97,"Winkelmeier-Becker, Elisabeth",CDU,326,Nordrhein-Westfalen,NA,Direkt
105,"Beyer, Peter",CDU,313,Nordrhein-Westfalen,NA,Direkt
106,"Jarzombek, Thomas",CDU,311,Nordrhein-Westfalen,NA,Direkt
120,"Hauer, Matthias",CDU,307,Nordrhein-Westfalen,NA,Direkt
98,"Dr. Röttgen, Norbert Alois",CDU,40,Nordrhein-Westfalen,NA,Direkt
124,"Spahn, Jens Georg",CDU,40,Nordrhein-Westfalen,NA,Direkt
131,"Brinkhaus, Ralph",CDU,40,Nordrhein-Westfalen,NA,Direkt
128,"Karliczek, Anja Maria-Antonia",CDU,34,Nordrhein-Westfalen,NA,Direkt
91,"Dr. Kippels, Georg",CDU,33,Nordrhein-Westfalen,NA,Direkt
100,"Dr. Tebroke, Hermann-Josef Johann",CDU,30,Nordrhein-Westfalen,NA,Direkt
104,"Dr. Wiener, Klaus",CDU,30,Nordrhein-Westfalen,NA,Direkt
NA,"Laschet, Armin",CDU,NA,Nordrhein-Westfalen,1,Liste
