"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Ebner, Harald","1964","GRÜNE","Land Baden-Württemberg (Platz 7)","Wahlkreis 268"
"Echeverria, Inaki Axel","1980","SPD","Wahlkreis 139 (35,4 %)","Land Nordrhein-Westfalen (Platz 31)"
"Eckert, Leon","1995","GRÜNE","Land Bayern (Platz 18)","Wahlkreis 214"
"Edelhäußer, Ralph","1973","CSU","Wahlkreis 246 (38,0 %)",""
"Ehrhorn, Thomas Ludwig Walter","1959","AfD","Land Niedersachsen (Platz 3)","Wahlkreis 044"
"Eichwede, Sonja Katharina","1987","SPD","Wahlkreis 060 (32,1 %)","Land Brandenburg (Platz 6)"
"Emmerich, Marcel","1991","GRÜNE","Land Baden-Württemberg (Platz 11)","Wahlkreis 291"
"Engelhard, Alexander","1972","CSU","Wahlkreis 255 (37,2 %)",""
"Engelhardt, Heike","1961","SPD","Land Baden-Württemberg (Platz 21)","Wahlkreis 294"
"Englhardt-Kopf, Martina","1981","CSU","Wahlkreis 234 (35,1 %)","Land Bayern (Platz 12)"
"Erndl, Thomas Maximilian","1974","CSU","Wahlkreis 227 (37,4 %)",""
"Ernst, Klaus Friedrich","1954","DIE LINKE","Land Bayern (Platz 2)","Wahlkreis 250"
"Dr. Esdar, Wiebke","1984","SPD","Wahlkreis 132 (30,0 %)","Land Nordrhein-Westfalen (Platz 16)"
"Esken, Saskia Christina","1961","SPD","Land Baden-Württemberg (Platz 1)","Wahlkreis 280"
"Dr. Espendiller, Michael","1989","AfD","Land Nordrhein-Westfalen (Platz 6)","Wahlkreis 126"
