"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Abdi, Sanae","1986","SPD","Wahlkreis 093 (27,9 %)","Land Nordrhein-Westfalen (Platz 40)"
"Abel, Valentin Christian","1991","FDP","Land Baden-Württemberg (Platz 12)","Wahlkreis 268"
"Abraham, Knut Friedrich Alexander","1966","CDU","Land Brandenburg (Platz 4)","Wahlkreis 065"
"Adler, Katja","1974","FDP","Land Hessen (Platz 6)","Wahlkreis 176"
"Aeffner, Stephanie","1976","GRÜNE","Land Baden-Württemberg (Platz 15)","Wahlkreis 279"
"Ahmetovic, Adis","1993","SPD","Wahlkreis 041 (34,9 %)","Land Niedersachsen (Platz 29)"
"Akbulut, Gökay","1982","DIE LINKE","Land Baden-Württemberg (Platz 2)","Wahlkreis 275"
"Alabali-Radovan, Reem","1990","SPD","Wahlkreis 012 (29,4 %)","Land Mecklenburg-Vorpommern (Platz 6)"
"Albani, Stephan Theodor Johannes","1968","CDU","Land Niedersachsen (Platz 11)","Wahlkreis 027"
"Al-Dailami, Ali Abass Yahya","1981","DIE LINKE","Land Hessen (Platz 2)","Wahlkreis 173"
"Al-Halak, Muhanad","1989","FDP","Land Bayern (Platz 14)","Wahlkreis 227"
"Alt, Renata","1965","FDP","Land Baden-Württemberg (Platz 7)","Wahlkreis 262"
"Altenkamp, Norbert Maria","1972","CDU","Wahlkreis 181 (33,3 %)","Land Hessen (Platz 16)"
"Altmaier, Peter (Mandat abgelehnt)","1958","CDU","Land Saarland (Platz 2)","Wahlkreis 297"
"Amthor, Philipp","1992","CDU","Land Mecklenburg-Vorpommern (Platz 1)","Wahlkreis 016"
"Amtsberg, Luise","1984","GRÜNE","Land Schleswig-Holstein (Platz 1)","Wahlkreis 005"
"Andres, Dagmar","1969","SPD","Land Nordrhein-Westfalen (Platz 18)","Wahlkreis 092"
"Annen, Niels","1973","SPD","Land Hamburg (Platz 2)","Wahlkreis 020"
"Arlt, Johannes","1984","SPD","Wahlkreis 017 (31,1 %)","Land Mecklenburg-Vorpommern (Platz 5)"
"Aschenberg-Dugnus, Christine Irene","1959","FDP","Land Schleswig-Holstein (Platz 3)","Wahlkreis 004"
"Audretsch, Andreas","1984","GRÜNE","Land Berlin (Platz 4)","Wahlkreis 082"
"Auernhammer, Artur","1963","CSU","Wahlkreis 241 (38,4 %)",""
"Aumer, Peter","1976","CSU","Wahlkreis 233 (35,3 %)",""
"Außendorf, Maik","1971","GRÜNE","Land Nordrhein-Westfalen (Platz 18)","Wahlkreis 100"
