,partyLabel,firstName,lastName,birthdate,constituencyName,person_id,survivor,Name
6,SPD,Niels,Annen,1973,Hamburg,6156446f-718d-45da-aaa7-27dfd3325f60,,"Annen, Niels"
11,SPD,Franziska,Mascheck,1979,Sachsen,454e8f81-22f0-4682-9005-b60a3e36bf25,,"Mascheck, Franziska"
21,CDU,Alexander,Throm,1968,Heilbronn,831875a9-547f-47a6-9759-a7dacc5bae6d,,"Throm, Alexander"
23,CDU,Christoph,de Vries,1974,Hamburg,0bc556a0-65a4-4791-88dc-4068cbae190a,,"de Vries, Christoph"
28,CDU,Carsten,Körber,1979,Sachsen,f80e5dad-6f6a-4444-97e5-5a8241fbf2fd,,"Körber, Carsten"
30,CDU,Gunther,Krichbaum,1964,Pforzheim,c6690ff7-3a6c-4d1b-a9e7-957521cfe71c,,"Krichbaum, Gunther"
35,CDU,Olav,Gutting,1970,Bruchsal – Schwetzingen,a643ac1d-d69a-4d59-84ab-a3d57ef8cafa,,"Gutting, Olav"
38,Grüne,Kassem,Saleh,1993,Sachsen,9996c6aa-00c6-4501-97fe-54777a54369b,,"Saleh, Kassem"
44,Grüne,Sebastian,Schäfer,1979,Baden-Württemberg,04f24902-afd6-40a0-b6b8-4203c7b9edaf,,"Schäfer, Sebastian"
52,FDP,Nico,Tippelt,1967,Sachsen,0d32a5d1-6b6a-4065-978d-91ab0376677f,,"Tippelt, Nico"
59,AfD,Jürgen,Braun,1961,Baden-Württemberg,0e6ef0c2-6c6c-42c0-96e3-56ac927f0163,,"Braun, Jürgen"
72,SPD,Kevin,Leiser,1993,Baden-Württemberg,d173c96f-d72e-4d96-9d5c-8a35b0ee2d06,,"Leiser, Kevin"
76,SPD,Takis,Mehmet Ali,1991,Baden-Württemberg,a4a6ef59-80a8-4339-8a78-061125e17274,,"Mehmet Ali, Takis"
77,SPD,Heike,Engelhardt,1961,Baden-Württemberg,9231f0f8-4766-424e-9787-5e5a3df8a649,,"Engelhardt, Heike"
87,CDU,Simone,Borchardt,1967,Mecklenburg-Vorpommern,e8252882-e692-4e2e-95e8-25d29e2b7c60,,"Borchardt, Simone"
88,CDU,Marc,Biadacz,1979,Böblingen,171b0400-d991-4b7c-a2ef-11d446677580,,"Biadacz, Marc"
92,CDU,Christina,Stumpp,1987,Waiblingen,d8de84f1-a9ae-423b-8e36-d9e4a70803b0,,"Stumpp, Christina"
97,CSU,Bernhard,Loos,1955,München-Nord,19055abd-9888-48a6-bc3d-89320cc7da6b,,"Loos, Bernhard"
107,Grüne,Melis,Sekmen,1993,Baden-Württemberg,08ee0030-d128-4a9c-9ab0-45147eb3e852,,"Sekmen, Melis"
108,Grüne,Anja,Reinalter,1970,Baden-Württemberg,e7a5a97f-04cd-4eaa-a929-f0fc562ddf2a,,"Reinalter, Anja"
113,FDP,Claudia,Raffelhüschen,1968,Baden-Württemberg,49b678f9-60ce-4e8a-8a90-ec1ecd6b85e7,,"Raffelhüschen, Claudia"
125,AfD,Ulrike,Schielke-Ziesing,1969,Mecklenburg-Vorpommern,4c00d218-bae8-403b-b137-565c60efa3cd,,"Schielke-Ziesing, Ulrike"
149,CDU,Moritz,Oppelt,1989,Rhein-Neckar,5d782439-35b5-4015-8919-c7eac865dd31,,"Oppelt, Moritz"
150,CSU,Sebastian,Brehm,1971,Nürnberg-Nord,dfe222fc-0b83-412c-9818-80f86f18e9cb,,"Brehm, Sebastian"
153,CSU,Tobias,Winkler,1978,Fürth,83e9c4ad-c669-4dd2-934c-1f02c19b9986,,"Winkler, Tobias"
165,Grüne,Bruno,Hönel,1996,Schleswig-Holstein,6c6cc8a4-568d-4975-b023-7a257acbc12a,,"Hönel, Bruno"
174,FDP,Martin,Gaßner-Herz,1985,Baden-Württemberg,0a5a1d08-cd1c-4891-978a-f8a9b25e1e00,,"Gaßner-Herz, Martin"
181,FDP,Maximilian,Mordhorst,1996,Schleswig-Holstein,dfcd9d40-6086-410a-86be-fc389eab20b2,,"Mordhorst, Maximilian"
211,CSU,Stephan,Pilsinger,1987,München-West/Mitte,16d8a716-5699-46dd-897e-61e4e9229587,,"Pilsinger, Stephan"
229,Grüne,Julian,Pahlke,1991,Niedersachsen,6251988b-f30c-449a-a70b-2d9237d5f4d4,,"Pahlke, Julian"
232,Grüne,Patrizia,Menge,1960,Niedersachsen,ce9b844f-672c-4df9-8dc5-818bcc1ae47d,,"Menge, Patrizia"
237,FDP,Anikó,Merten,1982,Niedersachsen,9ae5b023-5a4a-4a47-b2e5-d0374e6f0886,,"Merten, Anikó"
250,SPD,Anja,Troff-Schaffarzyk,1969,Niedersachsen,c0ebf2eb-4c82-4b79-9901-770f14d05f4e,,"Troff-Schaffarzyk, Anja"
251,SPD,Anke,Hennig,1964,Niedersachsen,b0ae6b00-85a3-49f3-80be-c3affbcc7965,,"Hennig, Anke"
252,SPD,Peggy,Schierenbeck,1970,Niedersachsen,f4c1ff4f-bd6f-4c23-850b-cfe2ac2420b4,,"Schierenbeck, Peggy"
268,CDU,Fritz,Güntzler,1966,Niedersachsen,27862da0-5eef-4a3f-9981-2e2a37bf811a,,"Güntzler, Fritz"
269,CDU,Stephan,Albani,1968,Niedersachsen,53f16acf-2a85-48bd-9595-e3ead861bbcd,,"Albani, Stephan"
273,CDU,Yannick,Bury,1990,Emmendingen – Lahr,2a791b91-4058-4cd6-b42a-c2104160de54,,"Bury, Yannick"
297,AfD,Dirk,Brandes,1974,Niedersachsen,a2ee31b2-e0ac-49b8-9e44-5105be728991,,"Brandes, Dirk"
301,AfD,Hannes,Gnauck,1991,Brandenburg,a0078bdc-fecf-4efe-9158-8c0496afd6df,,"Gnauck, Hannes"
303,Linke,Heidi,Reichinnek,1988,Niedersachsen,0fb293e8-403b-4bc6-a7d0-c82b70e37b98,,"Reichinnek, Heidi"
315,SPD,Markus,Hümpfer,1992,Bayern,30677a8c-4c4c-4ab3-b79f-0e3457294bae,,"Hümpfer, Markus"
324,CDU,Annette,Widmann-Mauz,1966,Tübingen,9290e337-bf3c-427d-9bf4-6bec6efbbfcb,,"Widmann-Mauz, Annette"
333,Grüne,Leon,Eckert,1995,Bayern,486b787e-f4c1-4b2a-b910-33f56b9cbc55,,"Eckert, Leon"
344,FDP,Thomas,Hacker,1967,Bayern,ec545cd8-3d80-4305-8eac-c73bf75b5998,,"Hacker, Thomas"
350,AfD,Peter,Felser,1969,Bayern,44052826-7420-4cc9-ac72-37fc8c8cb0e0,,"Felser, Peter"
356,Linke,Ates,Gürpinar,1984,Bayern,663cda1b-a185-4ee4-b81b-20f564d51bb7,,"Gürpinar, Ates"
357,SPD,Jan,Plobner,1992,Bayern,4f3173aa-b743-4de2-b076-f86d628a43de,,"Plobner, Jan"
360,SPD,Carolin,Wagner,1982,Bayern,43e6773b-1674-4583-b5c7-ecc9c9c04e4e,,"Wagner, Carolin"
365,SPD,Simona,Koß,1961,Märkisch-Oderland – Barnim II,df26e72a-d9e0-4e41-b6c0-93643bc602af,,"Koß, Simona"
366,SPD,Christian,Petry,1965,St. Wendel,dcfcbe6a-bd14-4620-90f9-bb8d83737b4a,,"Petry, Christian"
383,CDU,Ottilie,Klein,1984,Berlin,80241f44-3a8e-49d1-8d65-6751374fdb16,,"Klein, Ottilie"
386,Grüne,Tina,Winklmann,1980,Bayern,06f85d87-ce76-499b-9a41-ff61fc5e3dd2,,"Winklmann, Tina"
395,FDP,Muhanad,Al-Halak,1989,Bayern,ccf76e05-b817-4fbc-8416-e343e3c7efba,,"Al-Halak, Muhanad"
402,AfD,Rose,Huy,1953,Bayern,a3d80f29-549a-44a6-8439-76f2a02f8eb3,,"Huy, Rose"
407,SPD,Erik,von Malottki,1986,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,edfaedb9-756f-43bf-9592-5dfd86194bee,,"von Malottki, Erik"
423,CSU,Wolfgang,Stefinger,1985,München-Ost,f02d78de-f324-4c7a-924a-1949aba1b842,,"Stefinger, Wolfgang"
429,CDU,Stefan,Heck,1982,Hessen,fbd476af-755a-45ec-824e-776827e14d86,,"Heck, Stefan"
435,Grüne,Misbah,Khan,1989,Rheinland-Pfalz,2937cd3a-93de-495f-aa65-aa39c8f4c065,,"Khan, Misbah"
438,Grüne,Nina,Stahr,1982,Berlin,d1cf730a-fac2-4951-bc0a-0a2382d3f255,,"Stahr, Nina"
440,FDP,Manuel,Höferlin,1973,Rheinland-Pfalz,73e98236-70d2-4813-84bd-1b05d0e20058,,"Höferlin, Manuel"
447,AfD,Edgar,Naujok,1960,Leipzig-Land,de1b5c4a-01da-4a39-93a3-b57e4e0176c4,,"Naujok, Edgar"
451,Linke,Pascal,Meiser,1975,Berlin,6fd1575a-98dd-4042-a41d-76bfa0a4e0cf,,"Meiser, Pascal"
452,SPD,Martin,Diedenhofen,1995,Rheinland-Pfalz,348869ee-ac89-4f97-b484-c23dbfe6bf5d,,"Diedenhofen, Martin"
453,SPD,Lena,Werner,1994,Rheinland-Pfalz,a3a07226-182f-43a9-bac2-ffc1253c23a8,,"Werner, Lena"
478,Grüne,Andreas,Audretsch,1984,Berlin,6df611f9-c040-49f8-a0e6-c649455375b9,,"Audretsch, Andreas"
480,Grüne,Awet,Tesfaiesus,1974,Hessen,cb57ff9e-1482-4663-8015-01e0549251d3,,"Tesfaiesus, Awet"
485,FDP,Lars,Lindemann,1971,Berlin,76b740cf-5dad-43e7-ac44-2e2dc630c85b,,"Lindemann, Lars"
490,AfD,Bernd,Schattner,1968,Rheinland-Pfalz,e3d6db80-33fa-46b6-babd-fcfa2ac155a3,,"Schattner, Bernd"
495,SPD,Ruppert,Stüwe,1978,Berlin,bea80498-d955-4cda-bdd3-ad7486131288,,"Stüwe, Ruppert"
505,SPD,Kaweh,Mansoori,1988,Hessen,3c2200a5-8249-4f63-ac13-8c7e786f06e2,,"Mansoori, Kaweh"
516,CSU,Volker,Ullrich,1975,Augsburg-Stadt,520070c8-2c03-443d-b272-ce7df5125a09,,"Ullrich, Volker"
523,FDP,Volker,Redder,1959,Bremen,207cb321-01c9-47a1-84b6-5f24b9ab4520,,"Redder, Volker"
524,FDP,Peter,Heidt,1965,Hessen,a94b7c24-b2a1-4a1d-a544-9b72f38f16a8,,"Heidt, Peter"
534,Linke,Thomas,Lutze,1969,Saarland,e579ae39-870a-4746-ada9-cc0833524889,,"Lutze, Thomas"
535,SPD,Anna,Kassautzki,1993,Vorpommern-Rügen – Vorpommern-Greifswald I,6ed4fc36-1a89-41b6-9014-392b3649231b,,"Kassautzki, Anna"
547,CDU,Diana,Stöcker,1970,Lörrach – Müllheim,b5b5711a-930e-45fc-8465-21aa76a0d4a9,,"Stöcker, Diana"
