Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
278,"Gutting, Olav Steffen",CDU,29.6,Baden-Württemberg,NA,Direkt
265,"Bilger, Steffen Rudi",CDU,29.5,Baden-Württemberg,NA,Direkt
264,"Stumpp, Christina Daniela",CDU,29,Baden-Württemberg,NA,Direkt
277,"Oppelt, Moritz Paul Georg",CDU,28.5,Baden-Württemberg,NA,Direkt
279,"Krichbaum, Gunther",CDU,28.5,Baden-Württemberg,NA,Direkt
267,"Throm, Alexander Richard",CDU,27.8,Baden-Württemberg,NA,Direkt
283,"Bury, Yannick",CDU,27.8,Baden-Württemberg,NA,Direkt
290,"Widmann-Mauz, Annette",CDU,27,Baden-Württemberg,NA,Direkt
259,"Mörseburg, Maximilian Rick",CDU,25.9,Baden-Württemberg,NA,Direkt
282,"Stöcker, Diana Iris",CDU,25.2,Baden-Württemberg,NA,Direkt
16,"von Malottki, Erik",SPD,24.8,Mecklenburg-Vorpommern,NA,Direkt
15,"Kassautzki, Anna Katharina",SPD,24.3,Mecklenburg-Vorpommern,NA,Direkt
58,"Fäscher, Ariane",SPD,26.3,Brandenburg,NA,Direkt
65,"Walter, Hannes Artur Gerhard",SPD,25.4,Brandenburg,NA,Direkt
59,"Koß, Simona",SPD,24.8,Brandenburg,NA,Direkt
298,"Petry, Christian",SPD,35.1,Saarland,NA,Direkt
218,"Dr. Stefinger, Wolfgang Dieter",CSU,31.7,Bayern,NA,Direkt
229,"Scheuer, Andreas Franz",CSU,30.7,Bayern,NA,Direkt
256,"Wittmann, Mechthilde",CSU,29.7,Bayern,NA,Direkt
244,"Brehm, Sebastian",CSU,28.5,Bayern,NA,Direkt
252,"Dr. Ullrich, Volker Michael",CSU,28.1,Bayern,NA,Direkt
220,"Pilsinger, Stephan Nikolaus",CSU,27,Bayern,NA,Direkt
217,"Loos, Bernhard Siegfried",CSU,25.7,Bayern,NA,Direkt
