partyLabel,firstName,lastName,birthdate,constituencyName,person_id,survivor
SPD,Sören,Bartol,1974,Marburg,1e289936-5766-4fd2-b515-a6aa042d7e7b,#N/A
SPD,Michael,Müller,1964,Berlin-Charlottenburg-Wilmersdorf,4eded915-c159-4d96-8309-0dedc3017c90,#N/A
SPD,Dirk,Heidenblut,1961,Essen II,20d248fd-3461-4ab5-bcd6-9beffcba03eb,#N/A
SPD,Michael,Thews,1964,Hamm – Unna II,ac91ef8d-8c0f-48aa-8375-6a7a4e785ea8,#N/A
SPD,Katrin,Zschau,1976,Rostock – Landkreis Rostock II,46c7cee5-2142-4a13-97c7-46e16a35f553,#N/A
SPD,Tim,Klüssendorf,1991,Lübeck,e4ec5891-b051-4fb3-9e84-e88ad0140801,#N/A
SPD,Niels,Annen,1973,Hamburg,6156446f-718d-45da-aaa7-27dfd3325f60,#N/A
SPD,Josephine,Ortleb,1986,Saarbrücken,b0d444bb-42c0-4ad4-801e-cbf0a1c161fb,#N/A
SPD,Falko,Droßmann,1973,Hamburg-Mitte,75d30fe6-7fe3-43cc-9da1-a3c1156cee78,#N/A
SPD,Susanne,Michel,1963,Sachsen,ab07407e-97e9-4709-bfe6-810b4efdad50,#N/A
SPD,Rasha,Nasr,1992,Sachsen,a25dd815-1e8c-4544-85a0-717f491c8977,#N/A
SPD,Franziska,Mascheck,1979,Sachsen,454e8f81-22f0-4682-9005-b60a3e36bf25,#N/A
SPD,Fabian,Funke,1997,Sachsen,161556e1-766f-4c80-ba4d-b1d73dcd3794,#N/A
SPD,Holger,Mann,1979,Sachsen,3acbd43c-3beb-4d2c-a710-0c60d7f4470a,#N/A
SPD,Carlos,Kasper,1994,Sachsen,f7e5228a-c234-4e7d-ab20-ce8dbec9d188,#N/A
SPD,Nadja,Sthamer,1990,Sachsen,400af997-fdc7-454b-aad8-797eaf4d4c75,#N/A
SPD,Daniel,Schneider,1976,Cuxhaven – Stade II,7acf6546-968a-4c1b-ac82-9f60826f3342,#N/A
