Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
SPD,Abdi,Sanae,1986,Wahlkreis,Köln I,TRUE,AbdiS1986
FDP,Abel,Valentin Christian,1991,Liste,Baden-Württemberg,TRUE,AbelV1991
CDU,Abraham,Knut Friedrich Alexander,1966,Liste,Brandenburg,FALSE,AbrahamK1966
FDP,Adler,Katja,1974,Liste,Hessen,TRUE,AdlerK1974
GRÜNE,Aeffner,Stephanie,1976,Liste,Baden-Württemberg,FALSE,AeffnerS1976
SPD,Ahmetovic,Adis,1993,Wahlkreis,Stadt Hannover I,TRUE,AhmetovicA1993
DIE LINKE,Akbulut,Gökay,1982,Liste,Baden-Württemberg,TRUE,AkbulutG1982
DIE LINKE,Al-Dailami,Ali Abass Yahya,1981,Liste,Hessen,TRUE,Al-DailamiA1981
FDP,Al-Halak,Muhanad,1989,Liste,Bayern,FALSE,Al-HalakM1989
SPD,Alabali-Radovan,Reem,1990,Wahlkreis,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,TRUE,Alabali-RadovanR1990
CDU,Albani,Stephan Theodor Johannes,1968,Liste,Niedersachsen,FALSE,AlbaniS1968
FDP,Alt,Renata,1965,Liste,Baden-Württemberg,TRUE,AltR1965
CDU,Altenkamp,Norbert Maria,1972,Wahlkreis,Main-Taunus,TRUE,AltenkampN1972
CDU,Altmaier,Peter,1958,Liste,Saarland,TRUE,AltmaierP1958
CDU,Amthor,Philipp,1992,Liste,Mecklenburg-Vorpommern,TRUE,AmthorP1992
GRÜNE,Amtsberg,Luise,1984,Liste,Schleswig-Holstein,TRUE,AmtsbergL1984
SPD,Andres,Dagmar,1969,Liste,Nordrhein-Westfalen,FALSE,AndresD1969
SPD,Annen,Niels,1973,Liste,Hamburg,FALSE,AnnenN1973
SPD,Arlt,Johannes,1984,Wahlkreis,Mecklenburgische Seenplatte II – Landkreis Rostock III,TRUE,ArltJ1984
FDP,Aschenberg-Dugnus,Christine Irene,1959,Liste,Schleswig-Holstein,TRUE,Aschenberg-DugnusC1959
GRÜNE,Audretsch,Andreas,1984,Liste,Berlin,FALSE,AudretschA1984
CSU,Auernhammer,Artur,1963,Wahlkreis,Ansbach,TRUE,AuernhammerA1963
CSU,Aumer,Peter,1976,Wahlkreis,Regensburg,TRUE,AumerP1976
GRÜNE,Außendorf,Maik,1971,Liste,Nordrhein-Westfalen,TRUE,AußendorfM1971
GRÜNE,Bacherle,Tobias Björn,1994,Liste,Baden-Württemberg,FALSE,BacherleT1994
AfD,Bachmann,Carolin,1988,Wahlkreis,Mittelsachsen,TRUE,BachmannC1988
GRÜNE,Badum,Lisa Hildegard,1983,Liste,Bayern,TRUE,BadumL1983
SPD,Baehrens,Heike Charlotte,1955,Liste,Baden-Württemberg,TRUE,BaehrensH1955
GRÜNE,Baerbock,Annalena Charlotte Alma,1980,Liste,Brandenburg,TRUE,BaerbockA1980
SPD,Bahr,Ulrike Renate Martina,1964,Liste,Bayern,TRUE,BahrU1964
SPD,Baldy,Daniel,1994,Wahlkreis,Mainz,TRUE,BaldyD1994
GRÜNE,Banaszak,Felix,1989,Liste,Nordrhein-Westfalen,TRUE,BanaszakF1989
SPD,Baradari,Nezahat,1965,Liste,Nordrhein-Westfalen,FALSE,BaradariN1965
CDU,Bareiß,Thomas,1975,Wahlkreis,Zollernalb – Sigmaringen,TRUE,BareißT1975
SPD,Bartol,Sören,1974,Wahlkreis,Marburg,TRUE,BartolS1974
DIE LINKE,Bartsch,Dietmar Gerhard,1958,Liste,Mecklenburg-Vorpommern,TRUE,BartschD1958
SPD,Bas,Bärbel,1968,Wahlkreis,Duisburg I,TRUE,BasB1968
