Wahlkreis_Nr,Wahlkreis,verwaist,Tooltip
005,Kiel,FALSE,"Der Wahlkreis Kiel wird derzeit von Jens Stein (SPD) vertreten ; nach der Reform verblieben Luise Amtsberg (GRÜNE), Luise Amtsberg (GRÜNE)über die Liste im Bundestag."
015,Vorpommern-Rügen – Vorpommern-Greifswald I,FALSE,"Der Wahlkreis Vorpommern-Rügen – Vorpommern-Greifswald I wird derzeit von Anna Kassautzki (SPD) vertreten ; nach der Reform verblieben Leif-Erik Holm (AfD), Leif-Erik Holm (AfD), Claudia Müller (GRÜNE), Claudia Müller (GRÜNE)über die Liste im Bundestag."
016,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,FALSE,"Der Wahlkreis Mecklenburgische Seenplatte I – Vorpommern-Greifswald II wird derzeit von Erik von Malottki (SPD) vertreten ; nach der Reform verblieben Philipp Amthor (CDU), Philipp Amthor (CDU), Enrico Komning (AfD), Enrico Komning (AfD)über die Liste im Bundestag."
037,Lüchow-Dannenberg – Lüneburg,FALSE,"Der Wahlkreis Lüchow-Dannenberg – Lüneburg wird derzeit von Jakob Blankenburg (SPD) vertreten ; nach der Reform verblieben Julia Verlinden (GRÜNE), Julia Verlinden (GRÜNE)über die Liste im Bundestag."
054,Bremen I,FALSE,"Der Wahlkreis Bremen I wird derzeit von Sarah Ryglewski (SPD) vertreten ; nach der Reform verblieben Thomas Röwekamp (CDU), Thomas Röwekamp (CDU), Kirsten Kappert-Gonther (GRÜNE), Kirsten Kappert-Gonther (GRÜNE)über die Liste im Bundestag."
058,Oberhavel – Havelland II,FALSE,"Der Wahlkreis Oberhavel – Havelland II wird derzeit von Ariane Fäscher (SPD) vertreten ; nach der Reform verblieben Uwe Feiler (CDU), Uwe Feiler (CDU), Anke Domscheit-Berg (DIE LINKE), Anke Domscheit-Berg (DIE LINKE)über die Liste im Bundestag."
059,Märkisch-Oderland – Barnim II,TRUE,Der Wahlkreis Märkisch-Oderland – Barnim II wird derzeit von Simona Koß (SPD) vertreten und wäre bei der Wahlrechtsreform verwaist.
062,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,FALSE,"Der Wahlkreis Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I wird derzeit von Sylvia Lehmann (SPD) vertreten ; nach der Reform verblieben Jana Schimke (CDU), Jana Schimke (CDU), Steffen Kotré (AfD), Steffen Kotré (AfD)über die Liste im Bundestag."
065,Elbe-Elster – Oberspreewald-Lausitz II,TRUE,Der Wahlkreis Elbe-Elster – Oberspreewald-Lausitz II wird derzeit von Hannes Walter (SPD) vertreten und wäre bei der Wahlrechtsreform verwaist.
154,Leipzig-Land,TRUE,Der Wahlkreis Leipzig-Land wird derzeit von Edgar Naujok (AfD) vertreten und wäre bei der Wahlrechtsreform verwaist.
186,Darmstadt,TRUE,Der Wahlkreis Darmstadt wird derzeit von Andreas Larem (SPD) vertreten und wäre bei der Wahlrechtsreform verwaist.
217,München-Nord,FALSE,"Der Wahlkreis München-Nord wird derzeit von Bernhard Loos (CSU) vertreten ; nach der Reform verblieben Petr Bystron (AfD), Petr Bystron (AfD), Daniel Föst (FDP), Daniel Föst (FDP)über die Liste im Bundestag."
218,München-Ost,FALSE,"Der Wahlkreis München-Ost wird derzeit von Wolfgang Stefinger (CSU) vertreten ; nach der Reform verblieben Claudia Tausend (SPD), Claudia Tausend (SPD)über die Liste im Bundestag."
220,München-West/Mitte,FALSE,"Der Wahlkreis München-West/Mitte wird derzeit von Stephan Pilsinger (CSU) vertreten ; nach der Reform verblieben Lukas Köhler (FDP), Lukas Köhler (FDP), Dieter Janecek (GRÜNE), Dieter Janecek (GRÜNE), Nicole Gohlke (DIE LINKE), Nicole Gohlke (DIE LINKE)über die Liste im Bundestag."
229,Passau,FALSE,"Der Wahlkreis Passau wird derzeit von Andreas Scheuer (CSU) vertreten ; nach der Reform verblieben Johannes Schätzl (SPD), Johannes Schätzl (SPD)über die Liste im Bundestag."
230,Rottal-Inn,FALSE,"Der Wahlkreis Rottal-Inn wird derzeit von Max Straubinger (CSU) vertreten ; nach der Reform verblieben Stephan Protschka (AfD), Stephan Protschka (AfD), Marlene Schönberger (GRÜNE), Marlene Schönberger (GRÜNE)über die Liste im Bundestag."
234,Schwandorf,FALSE,"Der Wahlkreis Schwandorf wird derzeit von Martina Englhardt-Kopf (CSU) vertreten ; nach der Reform verblieben Marianne Schieder (SPD), Marianne Schieder (SPD)über die Liste im Bundestag."
243,Fürth,FALSE,"Der Wahlkreis Fürth wird derzeit von Tobias Winkler (CSU) vertreten ; nach der Reform verblieben Carsten Träger (SPD), Carsten Träger (SPD)über die Liste im Bundestag."
244,Nürnberg-Nord,FALSE,"Der Wahlkreis Nürnberg-Nord wird derzeit von Sebastian Brehm (CSU) vertreten ; nach der Reform verblieben Gabriela Heinrich (SPD), Gabriela Heinrich (SPD), Martin Sichert (AfD), Martin Sichert (AfD), Katja Hessel (FDP), Katja Hessel (FDP), Markus Ganserer (GRÜNE), Markus Ganserer (GRÜNE)über die Liste im Bundestag."
245,Nürnberg-Süd,FALSE,"Der Wahlkreis Nürnberg-Süd wird derzeit von Michael Frieser (CSU) vertreten ; nach der Reform verblieben Sascha Müller (GRÜNE), Sascha Müller (GRÜNE)über die Liste im Bundestag."
252,Augsburg-Stadt,FALSE,"Der Wahlkreis Augsburg-Stadt wird derzeit von Volker Ullrich (CSU) vertreten ; nach der Reform verblieben Ulrike Bahr (SPD), Ulrike Bahr (SPD), Claudia Roth (GRÜNE), Claudia Roth (GRÜNE)über die Liste im Bundestag."
256,Oberallgäu,FALSE,"Der Wahlkreis Oberallgäu wird derzeit von Mechthilde Wittmann (CSU) vertreten ; nach der Reform verblieben Stephan Thomae (FDP), Stephan Thomae (FDP)über die Liste im Bundestag."
259,Stuttgart II,FALSE,"Der Wahlkreis Stuttgart II wird derzeit von Maximilian Mörseburg (CDU) vertreten ; nach der Reform verblieben Anna Christmann (GRÜNE), Anna Christmann (GRÜNE)über die Liste im Bundestag."
260,Böblingen,FALSE,"Der Wahlkreis Böblingen wird derzeit von Marc Biadacz (CDU) vertreten ; nach der Reform verblieben Jasmina Hostert (SPD), Jasmina Hostert (SPD), Tobias Bacherle (GRÜNE), Tobias Bacherle (GRÜNE), Florian Toncar (FDP), Florian Toncar (FDP), Markus-Cornel Frohnmaier (AfD), Markus-Cornel Frohnmaier (AfD)über die Liste im Bundestag."
262,Nürtingen,FALSE,"Der Wahlkreis Nürtingen wird derzeit von Michael Hennrich (CDU) vertreten ; nach der Reform verblieben Nils Schmid (SPD), Nils Schmid (SPD), Matthias Gastel (GRÜNE), Matthias Gastel (GRÜNE), Renata Alt (FDP), Renata Alt (FDP)über die Liste im Bundestag."
264,Waiblingen,FALSE,"Der Wahlkreis Waiblingen wird derzeit von Christina Stumpp (CDU) vertreten ; nach der Reform verblieben Stephan Seiter (FDP), Stephan Seiter (FDP)über die Liste im Bundestag."
265,Ludwigsburg,FALSE,"Der Wahlkreis Ludwigsburg wird derzeit von Steffen Bilger (CDU) vertreten ; nach der Reform verblieben Macit Karaahmetoǧlu (SPD), Macit Karaahmetoǧlu (SPD), Sandra Detzer (GRÜNE), Sandra Detzer (GRÜNE), Martin Hess (AfD), Martin Hess (AfD)über die Liste im Bundestag."
267,Heilbronn,FALSE,"Der Wahlkreis Heilbronn wird derzeit von Alexander Throm (CDU) vertreten ; nach der Reform verblieben Josip Juratovic (SPD), Josip Juratovic (SPD), Michael Link (FDP), Michael Link (FDP)über die Liste im Bundestag."
277,Rhein-Neckar,FALSE,"Der Wahlkreis Rhein-Neckar wird derzeit von Moritz Oppelt (CDU) vertreten ; nach der Reform verblieben Lars Castellucci (SPD), Lars Castellucci (SPD), Jens Brandenburg (FDP), Jens Brandenburg (FDP)über die Liste im Bundestag."
278,Bruchsal – Schwetzingen,TRUE,Der Wahlkreis Bruchsal – Schwetzingen wird derzeit von Olav Gutting (CDU) vertreten und wäre bei der Wahlrechtsreform verwaist.
279,Pforzheim,FALSE,"Der Wahlkreis Pforzheim wird derzeit von Gunther Krichbaum (CDU) vertreten ; nach der Reform verblieben Katja Mast (SPD), Katja Mast (SPD)über die Liste im Bundestag."
282,Lörrach – Müllheim,FALSE,"Der Wahlkreis Lörrach – Müllheim wird derzeit von Diana Stöcker (CDU) vertreten ; nach der Reform verblieben Christoph Hoffmann (FDP), Christoph Hoffmann (FDP)über die Liste im Bundestag."
283,Emmendingen – Lahr,FALSE,"Der Wahlkreis Emmendingen – Lahr wird derzeit von Yannick Bury (CDU) vertreten ; nach der Reform verblieben Johannes Fechner (SPD), Johannes Fechner (SPD)über die Liste im Bundestag."
290,Tübingen,FALSE,"Der Wahlkreis Tübingen wird derzeit von Annette Widmann-Mauz (CDU) vertreten ; nach der Reform verblieben Martin Rosemann (SPD), Martin Rosemann (SPD), Christian Kühn (GRÜNE), Christian Kühn (GRÜNE)über die Liste im Bundestag."
298,St. Wendel,FALSE,"Der Wahlkreis St. Wendel wird derzeit von Christian Petry (SPD) vertreten ; nach der Reform verblieben Oliver Luksic (FDP), Oliver Luksic (FDP)über die Liste im Bundestag."
