Wechselpaar,alt,neu,id_alt,id_neu
1,JungChristianFDP,RaffelhüschenClaudiaFDP,f4e07be0-ac04-4a5f-a588-a4e69dcd0f40,49b678f9-60ce-4e8a-8a90-ec1ecd6b85e7
2,Kramp-KarrenbauerAnnegretCDU,SchönNadineCDU,1312b554-f12f-446b-bb90-3531d311105b,854b983a-4003-44d9-87f8-8d5c119b76b5
3,AltmaierPeterCDU,UhlMarkusCDU,759a3a5e-ffd0-4625-84e6-932df38e0f17,b14977ad-4cac-4e27-b8c2-8803b2d995b3
4,KippingKatjaDIELINKE,BüngerClaraDIELINKE,34cca3c0-a91a-4c70-a9a4-de2d20923cb8,b32a25e0-3511-4fb7-b922-5459912918e6
5,FahimiYasminSPD,RidderDanielaSPD,e3c876cf-31d8-4641-8964-e7956fcb9b40,00b6758e-7d5b-4ae9-a288-fb0e35ea1b74
6,KrischerOliverGRÜNE,SacherMichaelGRÜNE,d78b5edc-ba8a-45ac-a7f6-e5c1f369895c,705ff23d-08f7-4fb2-8342-380d91336cfa
7,SattelbergerThomasFDP,GründerNilsFDP,d03290ae-ce67-48eb-84de-84a753eb4e36,b07f1018-61bd-4210-9891-3846127b798e
8,KellerRainerSPD,RinkertDanielSPD,f0f9bed1-fe63-404c-8750-f929973b3f24,cb5b801d-2b1d-4bde-b37a-e22d9da57c44
9,MohrsFalkoSPD,BartzAlexanderSPD,a9062413-043f-439d-9100-6f1429caed2c,2f046420-404d-4e2b-b1c8-66ea5dc8f017
10,MaasHeikoSPD,VontzEmilySPD,348fe2df-1441-44c4-8752-d3ce3c9792b8,ca0f8eaf-8677-4193-81a6-a23fd46e3a57
11,PhilippiAndreasSPD,MendeDirk-UlrichSPD,22fce2be-c87a-4de9-ac27-3dc87d1ba16f,93377f62-bfbd-4bf2-a73c-e0c45945101a
12,StorjohannGeroCDU,BernsteinMelanieCDU,51086a86-ed38-4480-ac13-c36eff131d0f,be4bb69d-e9bd-4b93-87c8-bf30e945154f
13,HennrichMichaelCDU,FöhrAlexanderCDU,88f6ba04-0130-462f-954a-fe779a2c1e5b,07b83aed-aa2a-4e90-a428-8299049957da
