AGS,2017,2018,2019,2020,2021,Steigerung
1001,422,424,427,434,431,2.11
1002,379,383,385,391,392,3.53
1003,401,402,407,414,417,3.95
1004,457,460,460,471,475,3.99
1051,561,571,578,587,587,4.63
1053,549,554,559,565,567,3.28
1054,562,572,578,587,,
1055,575,582,592,602,606,5.32
1056,502,506,509,516,517,2.97
1057,575,583,590,596,598,3.97
1058,577,587,593,601,604,4.56
1059,580,589,596,603,606,4.45
1060,537,541,548,556,556,3.65
1061,560,569,579,589,591,5.55
1062,542,548,551,558,561,3.48
2000,343,344,345,351,352,2.53
3101,435,438,439,446,448,2.87
3102,484,491,502,510,513,5.95
3103,431,440,445,455,456,5.73
3151,560,571,579,587,591,5.39
3153,530,538,546,557,561,5.75
3154,559,569,576,583,589,5.47
3155,597,605,613,623,624,4.57
3157,577,586,593,600,600,4.01
3158,576,584,593,601,607,5.3
3159,509,513,520,529,531,4.26
3241,441,443,447,455,456,3.32
3251,586,592,601,606,610,4.09
3252,575,581,587,594,597,3.72
3254,536,541,548,555,558,4.11
3255,585,592,601,610,613,4.85
3256,575,583,591,598,602,4.65
3257,588,596,606,614,620,5.45
3351,558,565,572,579,582,4.26
3352,589,598,604,611,614,4.16
3353,589,596,602,608,608,3.21
3354,589,596,604,612,616,4.57
3355,501,507,513,521,525,4.74
3356,594,602,609,616,619,4.13
3357,589,599,604,611,614,4.25
3358,580,586,590,599,596,2.71
3359,559,565,571,577,579,3.45
3360,564,572,580,588,591,4.82
3361,569,577,582,588,589,3.51
3401,493,497,502,507,507,2.86
3402,436,445,451,463,469,7.69
3403,452,455,457,463,465,2.98
3404,430,433,437,446,447,4.01
3405,479,485,492,500,502,4.69
3451,580,586,591,598,598,3
3452,557,564,573,581,586,5.18
3453,534,541,549,555,557,4.21
3454,547,554,562,569,571,4.45
3455,610,619,627,637,641,5.23
3456,548,554,560,567,570,4.07
3457,557,564,571,578,582,4.45
3458,580,589,594,601,603,3.99
3459,584,592,600,606,607,3.97
3460,541,548,553,560,560,3.53
3461,553,563,570,578,581,5.05
3462,587,594,602,609,617,5.11
4011,366,367,369,375,379,3.62
4012,388,391,397,405,409,5.33
5111,367,368,369,376,378,3.13
